日期,渠道号,所属渠道,渠道类型,合作方式,部门,汇总类型,新增用户数,1日留存率,3日留存率,7日留存率,14日留存率,30日留存率,1日arpu净值,3日arpu净值,7日arpu净值,14日arpu净值,30日arpu净值,LT3,LT7,LT14,LT30,LT180预估,LT365预估,ltv1,ltv3,ltv7,ltv14,ltv30,ltv180预估,ltv365预估,新增单价,roi365预估,花费,活跃arpu,净值系数,活跃arpu净值,ltv180净值,ltv365净值,roi365净值,系数a,系数b,拟合优度
20190630,815994,快手-辉煌明天,线上CPC,付费推广,产品推广部,5,59,0.40678,0,0,0,0,0.093898,0,0,0,0,1,1,1,1,0,0,0.093898,0,0,0,0,0,0,3.52322,0,207.87,0.071116,2.65,0.188457,0,0,0,0,0,0
20190630,815640,辉煌明天,线上代理商,付费推广,产品推广部,5,123,0.162602,0,0,0,0,0.036992,0,0,0,0,1,1,1,1,9.298062,14.277219,0.036992,0,0,0,0,0.377799,0.580112,0,0,0,0.040632,2.65,0.107675,1.001167,1.537297,0,0.1885,-0.3489,0.9399
20190630,813681,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,367,0.354223,0,0,0,0,0.079646,0,0,0,0,1,1,1,1,17.014546,26.44948,0.079646,0,0,0,0,0.607589,0.944511,1.78267,0.529829,654.24,0.03571,2.65,0.094631,1.610111,2.502954,1.404047,0.3778,-0.359,0.9817
20190630,810467,广点通--亿科,线上CPC,付费推广,产品推广部,5,1583,0.267214,0,0,0,0,0.050708,0,0,0,0,1,1,1,1,13.700016,21.629264,0.050708,0,0,0,0,0.499722,0.788949,2.481421,0.317942,3928.09,0.036476,2.65,0.096661,1.324263,2.090715,0.842546,0.2639,-0.3258,0.9979
20190630,815688,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,5105,0.365524,0,0,0,0,0.066069,0,0,0,0,1,1,1,1,16.689537,25.874735,0.066069,0,0,0,0,0.827868,1.28349,3.143536,0.408295,16047.75,0.049604,2.65,0.131451,2.19385,3.401248,1.081982,0.3746,-0.3623,0.9954
20190630,815425,头条-优矩,线上CPC,付费推广,产品推广部,5,39,0.102564,0,0,0,0,0.070769,0,0,0,0,1,1,1,1,0,0,0.070769,0,0,0,0,0,0,2.340256,0,91.27,0.054646,2.65,0.144812,0,0,0,0,0,0
20190630,814575,卓塔,线上代理商,付费推广,产品推广部,5,101,0.544554,0,0,0,0,0.009901,0,0,0,0,1,1,1,1,27.124912,43.302087,0.009901,0,0,0,0,0.476585,0.760818,0,0,0,0.01757,2.65,0.04656,1.26295,2.016168,0,0.5536,-0.3308,0.9788
20190630,811636,头条--品众,线上CPC,付费推广,产品推广部,5,75,0.133333,0,0,0,0,0.033867,0,0,0,0,1,1,1,1,0,0,0.033867,0,0,0,0,0,0,0,0,0,0.037623,2.65,0.099701,0,0,0,0,0,0
20190630,815801,辉煌明天,线上代理商,付费推广,产品推广部,5,83,0.373494,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.023963,2.65,0.063502,0,0,0,0,0,0
20190630,815535,头条-优矩,线上CPC,付费推广,产品推广部,5,131,0.351145,0,0,0,0,0.04,0,0,0,0,1,1,1,1,0,0,0.04,0,0,0,0,0,0,3.470992,0,454.7,0.043387,2.65,0.114976,0,0,0,0,0,0
20190630,815156,头条-齐欣,线上CPC,付费推广,产品推广部,5,136,0.397059,0,0,0,0,0.102426,0,0,0,0,1,1,1,1,14.614919,21.974077,0.102426,0,0,0,0,0.536938,0.807306,3.074265,0.262601,418.1,0.036739,2.65,0.097358,1.422886,2.139361,0.695893,0.382,-0.4056,0.9833
